institutional_sector,consolidation,transaction_type,period,assets_total,assets_currency_deposits,assets_debt_securities,assets_loans_total,assets_short_term_loans,assets_long_term_loans,assets_equity_investment_funds,liabilities_total,liabilities_currency_deposits,liabilities_debt_securities,liabilities_loans_total,liabilities_short_term_loans,liabilities_long_term_loans,liabilities_equity_investment_funds,net_worth
Households including NPISHs,Not consolidated,Price changes and revaluations,2016,141022,62,112,0,0,0,28399,-53,,0,11,3,8,,141075
Households including NPISHs,Not consolidated,Price changes and revaluations,2017,-25486,-378,288,0,0,0,13026,-681,,0,-75,-20,-55,,-24805
Households including NPISHs,Not consolidated,Price changes and revaluations,2018,35657,68,-260,0,0,0,7152,-129,,0,43,22,21,,35786
Households including NPISHs,Not consolidated,Price changes and revaluations,2019,279580,79,355,0,0,0,42256,79,,0,37,20,17,,279501
Households including NPISHs,Not consolidated,Price changes and revaluations,2020,253541,-237,-131,0,0,0,36853,-172,,0,-15,-2,-13,,253713
Households including NPISHs,Not consolidated,Price changes and revaluations,2021,-53455,238,-115,0,0,0,68967,5,,0,28,8,20,,-53460
Households including NPISHs,Not consolidated,Price changes and revaluations,2022,-440653,373,-865,0,0,0,8003,-2,,0,10,0,10,,-440651
Households including NPISHs,Not consolidated,Price changes and revaluations,2023,175110,-188,-30,462,462,0,57920,7,,0,14,-4,18,,175103
Households including NPISHs,Not consolidated,Price changes and revaluations,2024,138383,131,445,0,0,0,57506,-1,,0,3,4,-1,,138384
Households including NPISHs,Not consolidated,Price changes and revaluations,2025*,-163885,-280,153,0,0,0,52321,-28,,0,-15,-13,-2,,-163857
Households including NPISHs,Not consolidated,Price changes and revaluations,2026 1st quarter*,32810,48,-70,0,0,0,11145,12,,0,7,4,3,,32798
Households including NPISHs,Not consolidated,Price changes and revaluations,2026 2nd quarter*,78861,26,-31,0,0,0,32164,20,,0,1,2,-1,,78841
Households including NPISHs,Not consolidated,Other volume changes,2015,2810,1,0,-2,0,-2,0,-844,,0,-806,-298,-508,,3654
Households including NPISHs,Not consolidated,Other volume changes,2016,4719,249,0,-3,0,-3,0,-113,,0,-110,-308,198,,4832
Households including NPISHs,Not consolidated,Other volume changes,2017,1843,0,0,-1,0,-1,0,-463,,0,-444,-211,-233,,2306
Households including NPISHs,Not consolidated,Other volume changes,2018,-10852,0,0,2,0,2,-4768,45,,0,237,-123,360,,-10897
Households including NPISHs,Not consolidated,Other volume changes,2019,-3196,0,0,0,0,0,0,-327,,0,-285,-196,-89,,-2869
Households including NPISHs,Not consolidated,Other volume changes,2020,-34341,0,0,0,0,0,47,-368,,0,-238,-190,-48,,-33973
Households including NPISHs,Not consolidated,Other volume changes,2021,0,0,0,0,0,0,0,-123,,0,-111,-84,-27,,123
Households including NPISHs,Not consolidated,Other volume changes,2022,11828,0,4,0,0,0,324,-134,,0,-117,-124,7,,11962
Households including NPISHs,Not consolidated,Other volume changes,2023,-1490,0,-307,0,0,0,-1182,-101,,0,-96,-89,-7,,-1389
Households including NPISHs,Not consolidated,Other volume changes,2024,-411,0,-282,0,0,0,-136,-117,,0,-117,-98,-19,,-294
Households including NPISHs,Not consolidated,Other volume changes,2025*,-189,0,-185,0,0,0,-4,-127,,0,-127,-80,-47,,-62
Households including NPISHs,Not consolidated,Other volume changes,2026 1st quarter*,-140,0,-38,0,0,0,-102,-22,,0,-22,-19,-3,,-118
Households including NPISHs,Not consolidated,Other volume changes,2026 2nd quarter*,38,0,21,0,0,0,17,-31,,0,-31,-25,-6,,69
Households including NPISHs,Not consolidated,Closing balance sheet,2015,2467984,412837,8051,10189,503,9686,491561,871073,,0,832945,45754,787191,,1596911
Households including NPISHs,Not consolidated,Closing balance sheet,2016,2647629,422672,7527,9876,100,9776,530994,884428,,2,848994,45002,803992,,1763201
Households including NPISHs,Not consolidated,Closing balance sheet,2017,2651207,429407,7271,10070,95,9975,547027,903910,,4,869087,45391,823696,,1747297
Households including NPISHs,Not consolidated,Closing balance sheet,2018,2701635,437818,7009,10582,341,10241,548719,922631,,6,889357,45498,843859,,1779004
Households including NPISHs,Not consolidated,Closing balance sheet,2019,3013055,461623,7152,10728,73,10655,581623,943970,,8,909852,46126,863726,,2069085
Households including NPISHs,Not consolidated,Closing balance sheet,2020,3298983,506007,7166,11223,230,10993,618865,968394,,10,937237,47403,889834,,2330589
Households including NPISHs,Not consolidated,Closing balance sheet,2021,3318148,541854,6702,11764,433,11331,704163,1003533,,10,972453,44503,927950,,2314615
Households including NPISHs,Not consolidated,Closing balance sheet,2022,2947275,576698,6415,12407,596,11811,708568,1046456,,10,1009411,45483,963928,,1900819
Households including NPISHs,Not consolidated,Closing balance sheet,2023,3157246,600118,7329,12892,840,12052,749150,1058932,,10,1016443,47310,969133,,2098314
Households including NPISHs,Not consolidated,Closing balance sheet,2024,3363908,634096,7692,13159,724,12435,805732,1096858,,10,1056255,49382,1006873,,2267050
Households including NPISHs,Not consolidated,Closing balance sheet,2025*,3285678,678041,7639,13509,686,12823,867385,1146529,,10,1105398,52100,1053298,,2139149
Households including NPISHs,Not consolidated,Closing balance sheet,2026 1st quarter*,3455043,685169,8702,13673,760,12913,879944,1157679,,10,1117977,52912,1065065,,2297364
Households including NPISHs,Not consolidated,Closing balance sheet,2026 2nd quarter*,3574637,705896,9000,13644,636,13008,922078,1174083,,10,1131461,53740,1077721,,2400554
