institutional_sector,consolidation,transaction_type,period,assets_total,assets_currency_deposits,assets_debt_securities,assets_loans_total,assets_short_term_loans,assets_long_term_loans,assets_equity_investment_funds,liabilities_total,liabilities_currency_deposits,liabilities_debt_securities,liabilities_loans_total,liabilities_short_term_loans,liabilities_long_term_loans,liabilities_equity_investment_funds,net_worth
The non-financial corporations sector,Not consolidated,Opening balance sheet,2026 1st quarter*,4052975,402667,7523,1401909,583852,818057,1922773,5640682,,184741,1798575,670236,1128339,3378225,-1587707
The non-financial corporations sector,Not consolidated,Opening balance sheet,2026 2nd quarter*,4091196,399255,9955,1399086,576598,822488,1953820,5750812,,186524,1816358,681066,1135292,3475014,-1659616
The non-financial corporations sector,Not consolidated,Financial transactions,2015,195567,6261,-1781,61635,9864,51771,120979,202636,,1958,12174,-14285,26459,188024,-7069
The non-financial corporations sector,Not consolidated,Financial transactions,2016,246397,12510,-873,85970,7463,78507,132711,230557,,38391,33670,-22109,55779,145987,15840
The non-financial corporations sector,Not consolidated,Financial transactions,2017,183561,17064,-981,119173,57861,61312,39821,148574,,14511,92161,31613,60548,38025,34987
The non-financial corporations sector,Not consolidated,Financial transactions,2018,47590,5883,1080,2947,-9849,12796,32192,27375,,12721,5773,14527,-8754,4104,20215
The non-financial corporations sector,Not consolidated,Financial transactions,2019,62301,1040,-2929,23767,-11522,35289,48318,45829,,5478,-12103,-27362,15259,52380,16472
The non-financial corporations sector,Not consolidated,Financial transactions,2020,84284,28805,879,16688,-15918,32606,41878,51627,,14934,-8085,-18867,10782,36232,32657
The non-financial corporations sector,Not consolidated,Financial transactions,2021,196401,51291,616,20357,15125,5232,85978,152938,,7544,42286,48253,-5967,74867,43463
The non-financial corporations sector,Not consolidated,Financial transactions,2022,165761,9149,1328,74855,74615,240,59938,51646,,20217,74738,60008,14730,-66753,114115
The non-financial corporations sector,Not consolidated,Financial transactions,2023,36351,-9918,568,48606,53470,-4864,-8479,3068,,8978,31599,30816,783,-26991,33283
The non-financial corporations sector,Not consolidated,Financial transactions,2024,57306,17750,1096,-16744,-26616,9872,48132,21320,,-2248,-6102,-18640,12538,28340,35986
